geoid,year,median_income,median_rent,population,previous_population,renter_households,rent_burden_pct,dwellings_total,dwellings_single_detached,dwellings_semi_detached,dwellings_row_house,dwellings_apt_duplex,dwellings_apt_low_rise,dwellings_apt_high_rise,owner_households,tenure_renter_households
5320105.15,2021,138000.0,2200.0,7857,7395,170,42.4,2390,1750,85,530,10,15,0,2225,170
5320105.17,2021,144000.0,990.0,1678,1738,75,0.0,570,565,0,0,5,0,0,495,75
5320105.18,2021,164000.0,2120.0,5353,4942,85,41.2,1605,1395,0,200,5,0,0,1520,85
5320105.19,2021,159000.0,2300.0,5936,5801,95,31.6,1745,1520,0,225,0,0,0,1645,95
5320105.20,2021,166000.0,2660.0,6056,6011,55,45.5,1745,1605,0,130,5,0,0,1675,55
5320105.21,2021,124000.0,1260.0,2179,2137,75,40.0,815,625,5,60,10,110,0,755,75
5320105.22,2021,130000.0,2600.0,1484,5,55,36.4,435,295,40,100,0,0,0,380,50
5320105.23,2021,143000.0,2260.0,6627,6537,120,45.8,1810,1405,105,295,0,0,0,1710,120
5320105.24,2021,166000.0,,3229,3052,35,57.1,940,845,10,80,0,0,0,910,30
5320200.00,2021,113000.0,1150.0,6242,5999,230,47.8,2280,2155,10,45,30,40,0,2050,225
5320201.01,2021,106000.0,1900.0,7678,6448,330,40.9,2910,2465,5,120,20,300,0,2565,325
5320201.02,2021,111000.0,1200.0,4003,3845,205,40.0,1460,1195,0,75,25,65,40,1280,200
5320202.04,2021,129000.0,1700.0,6248,5830,185,35.1,2070,1805,45,35,90,100,0,1910,190
5320202.05,2021,122000.0,1860.0,5335,5444,120,37.5,1795,1470,0,280,35,0,0,1690,115
5320202.08,2021,109000.0,1660.0,3256,3009,140,39.3,1140,975,30,45,70,20,0,990,140
5320202.09,2021,119000.0,1680.0,3359,3205,115,30.4,1195,1040,5,60,85,5,0,1100,115
5320202.11,2021,104000.0,1740.0,7773,6822,590,43.6,2835,1515,40,470,45,670,85,2240,590
5320202.12,2021,127000.0,,2455,2525,35,0.0,825,625,20,170,0,0,0,775,35
5320202.13,2021,131000.0,2240.0,3163,2854,45,44.4,985,830,0,155,0,0,0,915,45
5320202.14,2021,101000.0,1450.0,714,742,45,42.9,265,235,10,0,10,15,0,225,40
5320202.15,2021,67000.0,,974,902,15,0.0,560,545,0,10,0,0,0,545,20
5320202.16,2021,123000.0,2140.0,7691,4236,395,33.8,2380,2045,80,155,65,20,0,1930,395
5320202.17,2021,107000.0,1660.0,2240,2239,60,50.0,880,455,10,215,15,180,0,815,55
5320202.18,2021,127000.0,1840.0,2604,2488,60,41.7,875,810,0,40,20,0,0,830,60
5320203.01,2021,117000.0,1600.0,4940,4859,245,24.5,1660,1265,20,340,15,20,5,1420,250
5320203.02,2021,124000.0,1600.0,5608,5088,230,28.3,1835,1625,15,135,35,10,0,1585,235
5320203.03,2021,88000.0,1220.0,4240,4228,540,44.4,1620,920,125,105,60,305,105,1095,545
5320203.05,2021,134000.0,2000.0,5114,4484,95,42.1,1620,1330,0,225,20,35,0,1525,95
5320203.06,2021,106000.0,1270.0,3734,3476,260,25.0,1395,1085,25,140,75,65,5,1140,255
5320204.00,2021,78000.0,1540.0,4548,3830,810,54.9,1960,1105,115,65,75,315,275,1130,805
5320205.01,2021,104000.0,,617,698,25,0.0,230,100,80,45,5,0,0,205,25
5320205.02,2021,106000.0,1150.0,3955,3852,245,40.8,1475,680,425,195,75,105,0,1255,240
5320206.00,2021,130000.0,1760.0,4936,4910,125,36.0,1705,1665,10,5,15,5,0,1600,140
5350001.00,2021,137000.0,1520.0,599,595,55,36.4,235,15,85,85,5,40,0,190,55
5350002.00,2021,85000.0,1500.0,604,620,35,71.4,285,250,25,0,5,10,0,250,30
5350004.00,2021,50000.0,1130.0,6306,6686,3030,44.8,3275,70,55,10,95,1260,1790,240,3030
5350005.00,2021,66000.0,1300.0,6957,6424,2745,36.0,3720,40,40,310,25,875,2420,980,2740
5350006.00,2021,,,119,0,,,0,0,0,0,0,0,0,,
5350007.01,2021,57200.0,1180.0,3402,3237,1495,41.1,1650,60,55,15,60,475,985,225,1490
5350007.02,2021,53600.0,1230.0,4422,4753,2230,46.4,2370,35,10,5,15,490,1820,75,2235
5350008.01,2021,97000.0,2080.0,8480,7503,2785,44.9,5470,0,0,165,0,290,5020,2605,2785
5350008.02,2021,90000.0,1940.0,11591,9942,3850,42.9,7020,5,0,25,0,115,6875,3175,3845
5350009.00,2021,45200.0,1200.0,520,567,175,40.0,170,0,0,0,0,0,170,0,180
5350010.01,2021,110000.0,2060.0,5611,5428,1360,34.8,3185,15,35,290,195,620,2035,1895,1360
5350010.02,2021,97000.0,1740.0,7468,7740,1970,40.7,4265,25,80,350,105,665,2990,2295,1965
5350011.01,2021,97000.0,2080.0,9592,6506,3695,44.7,6380,0,55,60,25,270,5955,2690,3700
5350011.02,2021,88000.0,2040.0,9746,6373,4205,47.9,6570,5,0,10,0,35,6520,2485,4205
5350011.03,2021,84000.0,2000.0,6391,4670,2615,51.8,4120,0,0,0,0,25,4090,1380,2610
5350012.01,2021,84000.0,1960.0,13554,11658,4840,45.2,7895,0,0,65,0,5,7825,3050,4845
5350012.03,2021,98000.0,2060.0,8957,8865,2990,39.9,5175,0,0,0,0,5,5170,2205,2995
5350012.04,2021,95000.0,2100.0,5688,4899,2095,45.5,3480,0,0,0,0,0,3480,1365,2095
5350013.01,2021,91000.0,1840.0,6820,6290,2820,36.5,4240,0,0,0,0,45,4190,1465,2820
5350013.02,2021,100000.0,2220.0,10439,8126,3395,43.4,6175,5,0,0,0,5,6165,2740,3390
5350014.00,2021,92000.0,2000.0,2382,1242,785,56.0,1315,0,0,0,0,0,1310,550,790
5350015.00,2021,94000.0,1940.0,4922,3663,1505,41.6,3045,0,0,10,0,55,2985,1505,1505
5350016.00,2021,95000.0,1840.0,11144,10101,3275,42.7,6845,5,20,225,25,750,5790,3565,3275
5350017.01,2021,94000.0,1980.0,4787,2324,1360,41.3,2950,0,0,0,0,5,2940,1550,1355
5350017.02,2021,69500.0,1400.0,8710,5582,3720,36.2,5140,0,5,410,65,215,4440,1465,3720
5350018.00,2021,105000.0,2080.0,3633,2456,990,39.6,1990,50,200,185,15,375,1155,955,990
5350019.00,2021,80000.0,1030.0,3269,3258,650,27.9,1370,55,410,40,70,675,95,765,645
5350020.00,2021,147000.0,2300.0,2298,2390,150,50.0,990,225,160,115,5,145,340,860,145
5350021.00,2021,89000.0,1530.0,5192,5199,1465,48.5,2610,390,260,90,150,1710,0,1130,1465
5350022.00,2021,149000.0,1550.0,3847,3883,360,41.7,1480,600,270,65,75,465,0,1120,360
5350023.00,2021,134000.0,1530.0,3374,3208,330,53.0,1410,730,105,15,70,385,100,1080,330
5350024.00,2021,115000.0,1600.0,6891,6887,1150,42.7,2940,650,670,65,145,1190,230,1785,1155
5350025.00,2021,84000.0,1200.0,3553,3456,795,40.3,1630,220,295,225,55,815,0,840,795
5350026.00,2021,98000.0,1300.0,6409,6486,1040,36.5,2740,560,615,270,175,1010,80,1695,1045
5350027.00,2021,98000.0,1210.0,4405,4390,695,30.7,1760,190,450,115,100,845,55,1075,690
5350028.01,2021,118000.0,2260.0,1290,1387,250,30.6,650,10,165,100,15,145,225,425,250
5350028.02,2021,109000.0,1700.0,5868,6198,1000,33.2,2765,240,535,215,185,490,1075,1700,1000
5350029.00,2021,92000.0,1040.0,6722,6987,1390,36.5,2945,185,335,900,225,1020,265,1520,1395
5350030.00,2021,76500.0,1390.0,6926,4529,2155,37.6,3265,10,45,340,10,340,2460,1290,2155
5350031.00,2021,52000.0,920.0,5871,6274,2155,27.0,2845,0,0,185,5,260,2390,510,2160
5350032.00,2021,41600.0,1070.0,6042,5363,2785,43.5,3320,50,65,255,30,1135,1780,570,2790
5350033.00,2021,36400.0,800.0,5515,5042,2565,31.7,3120,10,50,225,45,550,2240,520,2565
5350034.01,2021,62400.0,1640.0,5337,4554,2130,53.3,3160,5,10,105,20,75,2930,985,2130
5350034.02,2021,61600.0,1720.0,7992,5147,3430,50.2,4900,10,10,0,5,165,4700,1495,3430
5350035.00,2021,66000.0,2000.0,10506,9876,4270,55.9,6150,0,0,0,0,35,6115,1850,4275
5350036.00,2021,65500.0,1700.0,5685,5487,2320,46.3,3400,5,20,135,40,430,2755,1100,2320
5350037.00,2021,61200.0,1600.0,4802,4494,1695,51.7,2360,15,55,65,50,965,1175,640,1690
5350038.00,2021,51600.0,1430.0,3605,3772,1065,44.2,1720,40,100,145,120,750,550,585,1065
5350039.00,2021,63600.0,1150.0,4505,4192,1435,31.1,2045,10,20,195,5,670,1140,670,1440
5350040.00,2021,90000.0,1570.0,4274,4568,670,35.8,1740,130,225,335,310,645,0,1065,670
5350041.00,2021,97000.0,1900.0,3324,3453,600,41.2,1480,65,185,295,45,650,235,885,600
5350042.00,2021,86000.0,1550.0,4423,4570,990,42.1,1960,120,220,105,235,1135,20,970,990
5350043.00,2021,96000.0,1800.0,3670,3965,775,46.1,1660,60,120,155,220,790,200,885,780
5350044.01,2021,95000.0,1860.0,5016,5071,1295,42.4,2410,80,120,240,145,1065,745,1090,1295
5350044.02,2021,80000.0,1900.0,4255,3754,1705,48.7,2700,0,5,15,5,85,2590,985,1710
5350045.00,2021,85000.0,1500.0,3247,3453,930,43.2,1455,95,145,115,30,925,135,545,935
5350046.00,2021,83000.0,1350.0,3151,3281,575,35.7,1320,85,175,265,55,610,95,755,580
5350047.02,2021,54400.0,1050.0,3511,3791,1335,31.7,1775,55,100,35,65,615,905,430,1335
5350047.03,2021,115000.0,2200.0,1014,703,235,38.3,550,30,20,10,15,475,0,325,235
5350047.04,2021,114000.0,1620.0,2773,2846,420,44.0,1125,195,290,110,165,365,0,710,425
5350048.00,2021,93000.0,1500.0,3353,3557,765,45.1,1475,205,245,70,75,635,235,690,765
5350049.00,2021,106000.0,1480.0,3351,3663,695,44.6,1365,225,240,10,135,705,50,655,695
5350050.01,2021,103000.0,1920.0,8648,8746,1130,35.9,4235,945,40,160,50,380,2660,3105,1125
5350050.03,2021,106000.0,1780.0,1085,1109,120,34.8,565,125,0,100,5,5,325,465,120
5350050.04,2021,90000.0,1210.0,4907,5008,1105,33.5,2145,810,135,10,85,815,285,1040,1100
5350051.00,2021,102000.0,1500.0,4979,5399,1160,40.6,2140,530,95,0,255,1140,95,975,1160
5350052.00,2021,104000.0,1660.0,4074,4077,870,36.0,1865,195,360,90,70,635,500,1000,870
5350053.00,2021,84000.0,1460.0,5823,5982,1245,41.6,2645,130,315,60,285,1365,395,1415,1245
5350054.00,2021,72500.0,1500.0,5453,5803,1840,43.8,2630,175,190,50,85,1260,865,775,1840
5350055.00,2021,87000.0,1720.0,2691,2763,795,49.4,1305,90,125,0,120,855,80,510,800
5350056.00,2021,94000.0,1800.0,4436,4772,1010,40.0,1960,165,480,155,180,945,0,945,1010
5350057.00,2021,84000.0,1700.0,2287,2311,695,45.3,1080,35,180,80,15,780,5,420,695
5350058.00,2021,85000.0,1760.0,3757,3980,1115,39.7,1830,90,200,75,95,1095,235,690,1110
5350059.00,2021,96000.0,1960.0,3843,3837,770,49.0,1400,70,140,210,80,880,0,655,765
5350060.00,2021,80000.0,1740.0,2550,2685,740,51.4,1365,50,80,75,80,310,720,590,745
5350061.00,2021,44400.0,1120.0,1202,1085,470,29.8,480,10,5,10,10,120,320,15,465
5350062.01,2021,64000.0,1940.0,4843,5595,2080,57.1,2620,0,0,15,0,115,2480,565,2080
5350062.03,2021,62400.0,2160.0,4224,3350,1670,65.3,2560,0,0,25,0,10,2530,840,1665
5350062.04,2021,52800.0,1980.0,8524,5734,3625,62.5,5410,0,0,0,0,40,5360,1805,3625
5350063.03,2021,70000.0,1660.0,4869,5104,2250,47.2,3185,0,0,20,0,115,3040,990,2255
5350063.04,2021,53600.0,1600.0,4778,3370,2555,48.8,3110,0,15,65,0,285,2745,665,2555
5350063.05,2021,60400.0,1860.0,6551,4331,2925,57.4,4250,0,0,0,0,135,4105,1270,2920
5350063.06,2021,57200.0,1570.0,6217,5171,3385,48.5,4080,5,0,40,5,335,3685,635,3380
5350064.00,2021,80000.0,1700.0,4963,4311,2045,46.8,2930,10,5,100,20,415,2380,915,2045
5350065.01,2021,60800.0,1450.0,2650,2483,1400,41.4,1465,0,0,5,0,65,1390,35,1400
5350065.02,2021,50400.0,1140.0,11120,11821,5025,30.5,5135,0,0,0,0,50,5085,105,5030
5350066.00,2021,67000.0,1340.0,7062,7608,2640,40.0,4190,20,30,100,55,840,3135,1595,2640
5350067.00,2021,153000.0,2200.0,1692,1694,170,35.3,780,75,185,255,20,245,5,600,175
5350068.00,2021,101000.0,1110.0,2451,2367,590,34.7,1225,65,240,285,100,460,80,600,595
5350069.00,2021,135000.0,1410.0,4847,4923,490,32.0,1825,285,555,100,190,660,0,1370,490
5350070.00,2021,83000.0,1460.0,3302,3512,1030,52.2,1670,185,320,5,50,430,680,600,1035
5350071.00,2021,109000.0,1380.0,3342,3481,525,38.8,1405,335,445,260,60,305,0,885,520
5350072.01,2021,73000.0,800.0,4509,4586,1040,26.3,1880,200,465,295,90,315,500,845,1040
5350072.02,2021,106000.0,1250.0,2985,3141,380,37.8,1220,275,350,75,70,450,0,835,385
5350073.00,2021,94000.0,1520.0,2478,2605,410,37.8,990,155,205,50,95,470,0,630,405
5350074.00,2021,90000.0,1310.0,3723,3848,700,37.9,1560,285,260,45,115,755,90,900,700
5350075.00,2021,89000.0,1090.0,4014,4083,725,47.6,1740,120,610,55,50,635,265,970,725
5350076.00,2021,97000.0,1010.0,4237,4415,660,33.6,1790,275,635,50,50,365,420,1115,655
5350077.00,2021,110000.0,1180.0,4493,4670,645,37.0,1815,380,625,20,70,580,135,1180,650
5350078.00,2021,87000.0,1100.0,6282,6016,1420,31.2,2930,600,570,85,165,955,555,1465,1420
5350079.00,2021,126000.0,1140.0,7424,7327,755,37.3,2875,675,895,385,120,460,325,2170,750
5350080.01,2021,93000.0,1290.0,3707,3352,685,42.6,1585,405,350,15,130,620,45,950,690
