geoid,transit_route_count,transit_score
5350353.04,1,0.0
5350355.02,1,0.0
5350355.04,1,0.0
5350355.06,1,0.0
5350356.00,1,0.0
5350357.02,1,0.0
5350358.01,1,0.0
5350358.03,1,0.0
5350359.00,3,15.4
5350361.01,2,7.7
5350361.02,7,46.2
5350362.01,6,38.5
5350362.02,6,38.5
5350362.03,5,30.8
5350362.04,3,15.4
5350363.02,3,15.4
5350363.04,5,30.8
5350363.05,5,30.8
5350363.06,6,38.5
5350363.07,3,15.4
5350364.01,3,15.4
5350365.00,2,7.7
5350367.01,2,7.7
5350367.02,2,7.7
5350368.01,6,38.5
5350368.02,6,38.5
5350369.00,6,38.5
5350374.01,1,0.0
5350374.03,1,0.0
5350375.01,1,0.0
5350376.05,1,0.0
5350376.06,1,0.0
5350376.15,1,0.0
5350376.16,1,0.0
5350377.02,7,46.2
5350377.06,1,0.0
5350377.07,1,0.0
5350377.08,1,0.0
5350377.09,1,0.0
5350378.02,6,38.5
5350378.03,3,15.4
5350378.04,2,7.7
5350378.05,2,7.7
5350378.07,3,15.4
5350378.11,2,7.7
5350378.12,2,7.7
5350378.27,6,38.5
5350378.28,2,7.7
5350400.02,3,15.4
5350400.03,3,15.4
5350400.04,3,15.4
5350400.06,2,7.7
5350400.07,3,15.4
5350400.08,3,15.4
5350400.12,3,15.4
5350400.15,2,7.7
5350400.19,2,7.7
5350400.21,2,7.7
5350401.07,2,7.7
5350401.13,1,0.0
5350401.14,3,15.4
5350401.15,3,15.4
5350401.18,6,38.5
5350401.19,1,0.0
5350401.22,6,38.5
5350401.23,6,38.5
5350402.02,1,0.0
5350402.03,1,0.0
5350402.06,1,0.0
5350402.07,7,46.2
5350402.08,1,0.0
5350402.09,7,46.2
5350402.12,1,0.0
5350402.13,1,0.0
5350403.04,1,0.0
5350403.11,3,15.4
5350403.12,3,15.4
5350403.13,3,15.4
5350403.14,3,15.4
5350403.15,1,0.0
5350403.16,2,7.7
5350410.03,1,0.0
5350410.05,7,46.2
5350410.09,1,0.0
5350410.10,1,0.0
5350411.04,2,7.7
5350411.07,2,7.7
5350411.08,9,61.5
5350411.09,2,7.7
5350411.12,2,7.7
5350411.15,2,7.7
5350411.16,2,7.7
5350411.18,2,7.7
5350411.21,2,7.7
5350411.22,2,7.7
5350411.25,2,7.7
5350411.26,1,0.0
5350411.27,2,7.7
5350412.11,1,0.0
5350412.24,2,7.7
5350413.01,1,0.0
5350413.02,2,7.7
5350420.03,2,7.7
5350420.05,1,0.0
5350420.08,2,7.7
5350420.09,1,0.0
5350420.10,1,0.0
5350420.13,7,46.2
5350420.14,6,38.5
5350420.15,1,0.0
5350421.01,7,46.2
5350421.04,1,0.0
5350421.05,1,0.0
5350421.06,1,0.0
5350421.07,1,0.0
5350422.02,1,0.0
5350422.03,1,0.0
5350422.06,2,7.7
5350423.01,1,0.0
5350424.13,3,15.4
5350430.03,3,15.4
5350430.05,3,15.4
5350430.06,3,15.4
5350430.07,3,15.4
5350430.08,3,15.4
5350431.01,3,15.4
5350431.02,4,23.1
5350440.00,6,38.5
5350441.02,3,15.4
5350442.02,3,15.4
5350442.04,3,15.4
5350442.05,3,15.4
5350442.06,3,15.4
5350450.02,3,15.4
5350450.03,3,15.4
5350450.05,2,7.7
5350451.01,2,7.7
5350451.02,3,15.4
5350451.03,2,7.7
5350452.01,3,15.4
5350452.02,3,15.4
5350452.03,4,23.1
5350452.06,1,0.0
5350452.07,3,15.4
5350456.01,4,23.1
5350456.02,3,15.4
5350456.03,1,0.0
5350460.01,2,7.7
5350460.02,2,7.7
5350471.00,1,0.0
5350472.00,1,0.0
5350500.01,2,7.7
5350500.02,5,30.8
5350501.01,8,53.8
5350501.02,3,15.4
5350502.01,8,53.8
5350502.02,8,53.8
5350503.00,6,38.5
5350504.00,9,61.5
5350505.01,3,15.4
5350505.02,6,38.5
5350506.00,7,46.2
5350507.00,7,46.2
5350508.00,3,15.4
5350509.01,5,30.8
5350509.02,6,38.5
5350510.00,12,84.6
5350511.01,4,23.1
5350511.02,5,30.8
5350512.00,16,100.0
5350513.01,10,69.2
5350513.02,10,69.2
5350513.03,7,46.2
5350513.04,7,46.2
5350514.01,13,92.3
5350514.02,11,76.9
5350515.01,8,53.8
5350515.02,9,61.5
5350516.01,21,100.0
5350516.02,11,76.9
5350516.03,20,100.0
5350516.04,20,100.0
5350516.05,21,100.0
5350516.06,18,100.0
5350516.08,10,69.2
5350516.09,10,69.2
5350516.11,20,100.0
5350516.16,15,100.0
5350516.17,17,100.0
5350516.18,18,100.0
5350516.20,19,100.0
5350516.21,14,100.0
5350516.22,6,38.5
5350516.23,11,76.9
5350516.24,8,53.8
5350516.25,4,23.1
5350516.26,5,30.8
5350516.28,15,100.0
5350516.29,12,84.6
5350516.30,14,100.0
5350516.31,17,100.0
5350516.32,13,92.3
5350516.37,19,100.0
5350516.38,13,92.3
5350516.39,8,53.8
5350516.40,10,69.2
5350516.41,13,92.3
5350516.43,12,84.6
5350516.44,13,92.3
5350516.47,6,38.5
5350516.48,11,76.9
5350516.50,9,61.5
5350516.51,7,46.2
5350516.52,8,53.8
5350516.53,9,61.5
5350516.54,11,76.9
5350516.55,7,46.2
5350517.00,13,92.3
5350518.00,5,30.8
5350519.00,8,53.8
5350520.01,13,92.3
5350520.02,23,100.0
5350520.05,19,100.0
5350520.07,14,100.0
5350520.08,13,92.3
5350520.09,30,100.0
5350520.11,30,100.0
5350520.12,27,100.0
5350521.01,15,100.0
5350521.02,11,76.9
5350521.03,18,100.0
5350521.04,15,100.0
5350521.05,15,100.0
5350521.06,14,100.0
5350522.00,13,92.3
5350523.00,10,69.2
5350524.01,10,69.2
5350524.02,10,69.2
5350525.01,6,38.5
5350525.02,12,84.6
5350526.01,7,46.2
5350526.02,7,46.2
5350527.02,17,100.0
5350527.04,8,53.8
5350527.05,21,100.0
5350527.06,14,100.0
5350527.07,17,100.0
5350527.08,8,53.8
5350527.09,9,61.5
5350527.10,37,100.0
5350527.11,34,100.0
5350527.12,37,100.0
5350527.13,36,100.0
5350528.01,8,53.8
5350528.11,35,100.0
5350528.12,12,84.6
5350528.13,13,92.3
5350528.15,12,84.6
5350528.16,11,76.9
5350528.18,13,92.3
5350528.19,11,76.9
5350528.20,8,53.8
5350528.21,7,46.2
5350528.22,9,61.5
5350528.24,16,100.0
5350528.26,13,92.3
5350528.31,4,23.1
5350528.32,9,61.5
5350528.33,13,92.3
5350528.34,11,76.9
5350528.35,25,100.0
5350528.39,11,76.9
5350528.40,13,92.3
5350528.42,12,84.6
5350528.43,11,76.9
5350528.44,12,84.6
5350528.45,25,100.0
5350528.46,9,61.5
5350528.47,11,76.9
5350528.49,5,30.8
5350528.50,4,23.1
5350528.51,4,23.1
5350528.52,5,30.8
5350528.53,4,23.1
5350528.54,10,69.2
5350528.55,5,30.8
5350528.56,13,92.3
5350528.57,9,61.5
5350528.58,35,100.0
5350528.59,35,100.0
5350528.60,12,84.6
5350528.61,11,76.9
5350528.62,28,100.0
5350528.63,16,100.0
5350529.01,12,84.6
5350529.02,13,92.3
5350530.01,10,69.2
5350530.02,10,69.2
5350531.01,11,76.9
5350531.02,11,76.9
5350532.01,10,69.2
5350532.02,10,69.2
5350540.01,6,38.5
5350540.02,6,38.5
5350550.01,20,100.0
5350550.02,18,100.0
5350560.00,13,92.3
5350561.00,13,92.3
5350562.02,2,7.7
5350562.03,1,0.0
5350562.05,2,7.7
5350562.09,2,7.7
5350562.12,2,7.7
5350562.13,7,46.2
5350562.14,1,0.0
5350562.15,1,0.0
5350563.01,2,7.7
5350563.02,2,7.7
5350564.01,2,7.7
5350564.02,2,7.7
5350570.01,7,46.2
5350570.02,3,15.4
5350571.01,4,23.1
5350571.02,3,15.4
5350572.01,4,23.1
5350572.04,7,46.2
5350572.05,7,46.2
5350572.07,4,23.1
5350572.08,4,23.1
5350573.03,4,23.1
5350573.06,3,15.4
5350573.07,4,23.1
5350573.09,2,7.7
5350573.10,2,7.7
5350573.11,2,7.7
5350574.00,4,23.1
5350575.01,3,15.4
5350575.02,4,23.1
5350575.03,1,0.0
5350575.04,1,0.0
5350575.05,3,15.4
5350575.07,1,0.0
5350575.08,1,0.0
5350576.05,3,15.4
5350576.06,1,0.0
5350576.07,3,15.4
5350576.09,1,0.0
5350576.16,1,0.0
5350576.29,3,15.4
5350576.31,1,0.0
5350576.33,1,0.0
5350576.34,1,0.0
5350576.43,2,7.7
5350576.44,2,7.7
5350576.62,1,0.0
5350576.65,1,0.0
5350576.73,1,0.0
5350576.76,1,0.0
5350576.77,1,0.0
5350576.78,5,30.8
5350576.79,2,7.7
5350576.90,2,7.7
5350576.91,3,15.4
5350576.93,1,0.0
5350576.94,1,0.0
5350576.96,1,0.0
5350576.97,1,0.0
5350576.99,3,15.4
5350577.00,3,15.4
5350577.01,3,15.4
5350577.02,2,7.7
5350577.07,2,7.7
5350577.08,3,15.4
5350577.09,3,15.4
5350585.02,1,0.0
5350585.03,1,0.0
5350585.05,1,0.0
5350585.09,1,0.0
5350585.10,1,0.0
5350586.02,1,0.0
5350586.03,1,0.0
5350586.05,1,0.0
5350587.01,1,0.0
5350587.02,1,0.0
5350600.01,3,15.4
5350600.02,4,23.1
5350602.00,4,23.1
5350603.00,4,23.1
5350607.00,2,7.7
5350608.00,2,7.7
5350611.00,2,7.7
5350612.03,2,7.7
5350612.08,2,7.7
5350612.10,6,38.5
5350612.26,2,7.7
5350612.27,2,7.7
5350613.03,4,23.1
5350613.04,2,7.7
5350614.01,4,23.1
5350614.02,4,23.1
5350615.00,6,38.5
5350620.05,3,15.4
5350620.06,3,15.4
5350620.07,3,15.4
5350620.09,3,15.4
5350620.13,14,100.0
5350620.14,4,23.1
5350620.15,4,23.1
5350620.16,3,15.4
5350620.17,4,23.1
5350620.24,3,15.4
5350620.25,3,15.4
5350621.00,4,23.1
5350624.00,4,23.1
5350625.00,4,23.1
5350630.00,5,30.8
5350631.02,2,7.7
5350632.00,2,7.7
5350633.00,3,15.4
5350634.01,3,15.4
5350634.02,2,7.7
5350635.00,3,15.4
5350636.00,3,15.4
5350637.00,3,15.4
5350638.00,3,15.4
5350639.00,3,15.4
5350800.01,17,100.0
5350800.02,18,100.0
5350801.01,12,84.6
5350801.02,11,76.9
5350802.01,7,46.2
5350802.02,7,46.2
5350803.03,10,69.2
5350803.04,1,0.0
5350803.05,10,69.2
5350803.06,2,7.7
5350804.01,10,69.2
5350804.05,10,69.2
5350804.06,14,100.0
5350804.07,15,100.0
5350804.08,8,53.8
5350804.10,17,100.0
5350804.11,17,100.0
5350804.12,9,61.5
5350804.13,8,53.8
5350805.04,3,15.4
5350805.06,8,53.8
5350805.09,8,53.8
5350805.10,7,46.2
5350805.16,6,38.5
5350805.17,5,30.8
5350805.18,13,92.3
5350805.19,6,38.5
5350805.20,3,15.4
5350805.21,5,30.8
5350805.22,4,23.1
5350805.23,7,46.2
5350805.24,6,38.5
5350805.25,6,38.5
5350805.26,4,23.1
5350805.27,6,38.5
5350806.00,5,30.8
5350810.01,4,23.1
5350810.02,4,23.1
5350810.03,2,7.7
5350810.04,4,23.1
5350810.05,6,38.5
5350811.00,9,61.5
5350812.00,10,69.2
5350820.03,7,46.2
5350820.04,2,7.7
5350820.05,4,23.1
5350820.06,16,100.0
5350820.07,8,53.8
5350830.00,4,23.1
5350831.01,4,23.1
5350831.02,4,23.1
5370200.00,5,30.8
5370201.00,6,38.5
5370202.00,5,30.8
5370204.00,2,7.7
5370205.01,2,7.7
5370206.00,3,15.4
5370207.01,3,15.4
5370208.00,3,15.4
5370210.00,3,15.4
5370211.00,3,15.4
5370212.00,3,15.4
5370214.00,3,15.4
5370218.00,2,7.7
5370222.01,2,7.7
5370222.02,2,7.7
5370222.03,2,7.7
5370223.05,4,23.1
5370223.15,4,23.1
5370223.16,4,23.1
5370224.02,4,23.1
5370224.03,4,23.1
5370224.05,4,23.1
