geoid,year,housing_starts_total,housing_starts_total_source,housing_completions,housing_completions_source
5320014.02,2023,0,official,,
5320014.02,2024,0,official,,
5320015.02,2018,0,official,9,estimated_parent
5320015.02,2019,0,official,0,official
5320015.02,2020,1,estimated_parent,0,official
5320015.02,2021,0,official,1,estimated_parent
5320015.02,2022,1,estimated_parent,0,official
5320015.02,2023,0,official,,
5320015.02,2024,0,official,,
5320015.03,2018,0,official,5,estimated_parent
5320015.03,2019,0,official,0,official
5320015.03,2020,1,estimated_parent,0,official
5320015.03,2021,0,official,1,estimated_parent
5320015.03,2022,0,estimated_parent,0,official
5320015.03,2023,0,official,,
5320015.03,2024,0,official,,
5320015.04,2018,0,official,11,estimated_parent
5320015.04,2019,0,official,0,official
5320015.04,2020,2,estimated_parent,0,official
5320015.04,2021,0,official,2,estimated_parent
5320015.04,2022,1,estimated_parent,0,official
5320015.04,2023,0,official,,
5320015.04,2024,0,official,,
5320016.04,2018,1,estimated_parent,0,official
5320016.04,2019,2,estimated_parent,3,estimated_parent
5320016.04,2020,1,estimated_parent,0,official
5320016.04,2021,0,official,1,estimated_parent
5320016.04,2022,4,estimated_parent,0,official
5320016.04,2023,0,official,,
5320016.04,2024,38,estimated_parent,,
5320016.05,2018,0,estimated_parent,0,official
5320016.05,2019,1,estimated_parent,1,estimated_parent
5320016.05,2020,0,estimated_parent,0,official
5320016.05,2021,0,official,0,estimated_parent
5320016.05,2022,1,estimated_parent,0,official
5320016.05,2023,0,official,,
5320016.05,2024,10,estimated_parent,,
5320016.06,2018,0,estimated_parent,0,official
5320016.06,2019,1,estimated_parent,1,estimated_parent
5320016.06,2020,0,estimated_parent,0,official
5320016.06,2021,0,official,0,estimated_parent
5320016.06,2022,1,estimated_parent,0,official
5320016.06,2023,0,official,,
5320016.06,2024,9,estimated_parent,,
5320016.07,2018,0,estimated_parent,0,official
5320016.07,2019,0,estimated_parent,0,estimated_parent
5320016.07,2020,0,estimated_parent,0,official
5320016.07,2021,0,official,0,estimated_parent
5320016.07,2022,1,estimated_parent,0,official
5320016.07,2023,0,official,,
5320016.07,2024,5,estimated_parent,,
5320016.08,2018,0,estimated_parent,0,official
5320016.08,2019,0,estimated_parent,0,estimated_parent
5320016.08,2020,0,estimated_parent,0,official
5320016.08,2021,0,official,0,estimated_parent
5320016.08,2022,0,estimated_parent,0,official
5320016.08,2023,0,official,,
5320016.08,2024,4,estimated_parent,,
5320100.03,2018,26,official,13,official
5320100.03,2019,7,official,37,official
5320100.03,2020,11,official,10,official
5320100.03,2021,9,official,9,official
5320100.03,2022,12,official,6,official
5320100.03,2023,15,official,,
5320100.03,2024,7,official,,
5320101.02,2018,1,estimated_parent,0,estimated_parent
5320101.02,2019,2,estimated_parent,2,estimated_parent
5320101.02,2020,1,estimated_parent,1,estimated_parent
5320101.02,2021,1,estimated_parent,1,estimated_parent
5320101.02,2022,3,estimated_parent,1,estimated_parent
5320101.02,2023,1,estimated_parent,,
5320101.02,2024,3,estimated_parent,,
5320101.03,2018,1,estimated_parent,0,estimated_parent
5320101.03,2019,1,estimated_parent,1,estimated_parent
5320101.03,2020,1,estimated_parent,0,estimated_parent
5320101.03,2021,1,estimated_parent,1,estimated_parent
5320101.03,2022,1,estimated_parent,1,estimated_parent
5320101.03,2023,1,estimated_parent,,
5320101.03,2024,1,estimated_parent,,
5320101.04,2018,2,estimated_parent,1,estimated_parent
5320101.04,2019,3,estimated_parent,4,estimated_parent
5320101.04,2020,2,estimated_parent,1,estimated_parent
5320101.04,2021,2,estimated_parent,2,estimated_parent
5320101.04,2022,5,estimated_parent,3,estimated_parent
5320101.04,2023,2,estimated_parent,,
5320101.04,2024,4,estimated_parent,,
5320101.05,2018,4,estimated_parent,1,estimated_parent
5320101.05,2019,5,estimated_parent,5,estimated_parent
5320101.05,2020,4,estimated_parent,1,estimated_parent
5320101.05,2021,4,estimated_parent,4,estimated_parent
5320101.05,2022,7,estimated_parent,4,estimated_parent
5320101.05,2023,4,estimated_parent,,
5320101.05,2024,6,estimated_parent,,
5320101.06,2018,1,estimated_parent,0,estimated_parent
5320101.06,2019,1,estimated_parent,1,estimated_parent
5320101.06,2020,1,estimated_parent,0,estimated_parent
5320101.06,2021,1,estimated_parent,1,estimated_parent
5320101.06,2022,1,estimated_parent,1,estimated_parent
5320101.06,2023,1,estimated_parent,,
5320101.06,2024,1,estimated_parent,,
5350001.00,2018,0,official,0,official
5350001.00,2019,0,official,0,official
5350001.00,2020,0,official,0,official
5350001.00,2021,0,official,0,official
5350001.00,2022,0,official,0,official
5350001.00,2023,0,official,,
5350001.00,2024,0,official,,
5350002.00,2018,1,official,0,official
5350002.00,2019,1,official,1,official
5350002.00,2020,0,official,0,official
5350002.00,2021,0,official,0,official
5350002.00,2022,1,official,1,official
5350002.00,2023,0,official,,
5350002.00,2024,0,official,,
5350004.00,2018,0,official,0,official
5350004.00,2019,0,official,0,official
5350004.00,2020,0,official,0,official
5350004.00,2021,0,official,0,official
5350004.00,2022,0,official,0,official
5350004.00,2023,0,official,,
5350004.00,2024,0,official,,
5350005.00,2018,0,official,0,official
5350005.00,2019,0,official,673,official
5350005.00,2020,0,official,0,official
5350005.00,2021,0,official,0,official
5350005.00,2022,0,official,0,official
5350005.00,2023,410,official,,
5350005.00,2024,0,official,,
5350006.00,2018,0,official,0,official
5350006.00,2019,0,official,0,official
5350006.00,2020,0,official,0,official
5350006.00,2021,0,official,0,official
5350006.00,2022,0,official,0,official
5350006.00,2023,0,official,,
5350006.00,2024,0,official,,
5350007.01,2018,0,official,0,official
5350007.01,2019,0,official,0,official
5350007.01,2020,0,official,0,official
5350007.01,2021,0,official,0,official
5350007.01,2022,0,official,0,official
5350007.01,2023,0,official,,
5350007.01,2024,0,official,,
5350007.02,2018,0,official,0,official
5350007.02,2019,0,official,0,official
5350007.02,2020,0,official,0,official
5350007.02,2021,0,official,0,official
5350007.02,2022,0,official,0,official
5350007.02,2023,298,official,,
5350007.02,2024,0,official,,
5350008.01,2018,735,official,0,official
5350008.01,2019,0,official,0,official
5350008.01,2020,1202,official,302,official
5350008.01,2021,57,official,970,official
5350008.01,2022,0,official,281,official
5350008.01,2023,0,official,,
5350008.01,2024,0,official,,
5350008.02,2018,511,official,0,official
5350008.02,2019,0,official,0,official
5350008.02,2020,579,official,0,official
5350008.02,2021,302,official,1038,official
5350008.02,2022,425,official,302,official
5350008.02,2023,0,official,,
5350008.02,2024,0,official,,
5350009.00,2018,0,official,0,official
5350009.00,2019,0,official,0,official
5350009.00,2020,1,official,0,official
5350009.00,2021,0,official,0,official
5350009.00,2022,0,official,0,official
5350009.00,2023,0,official,,
5350009.00,2024,0,official,,
5350010.01,2018,79,official,1,official
5350010.01,2019,0,official,0,official
5350010.01,2020,0,official,103,official
5350010.01,2021,426,official,0,official
5350010.01,2022,0,official,0,official
5350010.01,2023,0,official,,
5350010.01,2024,0,official,,
5350010.02,2018,4,official,8,official
5350010.02,2019,0,official,45,official
